"","customer_id","cont_subs","sex","counties","series_hour","movie_hour","age","watch_medium","household","gift","income","cont_watch","dear_john","genre","facebook_lean","diehard"
"1","cust1","No","Female","Trinity",6,19,31,"Mobile","Shared Subs","Yes",5500,0,2,"Comedy","Left","No"
"2","cust2","Yes","Female","Kings",18,16,25,"Mobile","Shared Subs","No",4500,1,3,"Drama","Left","No"
"3","cust3","Yes","Male","Monterey",4,17,25,"Mobile","Couple","Yes",4200,1,5,"Action","Left","Yes"
"4","cust4","Yes","Male","Sonoma",14,4,27,"Mobile","Couple","Yes",3000,4,2,"Documentary","Left","Yes"
"5","cust5","Yes","Male","Monterey",2,6,25,"Mobile","Couple","No",4300,1,4,"Drama","Left","No"
"6","cust6","No","Female","Sonoma",14,1,32,"Mobile","Couple","No",3000,5,5,"Horror","Left","No"
"7","cust7","Yes","Male","Trinity",14,3,29,"Smart TV","Family","Yes",5400,0,2,"Action","Left","Yes"
"8","cust8","Yes","Female","Los Angeles",17,4,37,"Mobile","Family","Yes",6400,0,4,"Comedy","Center","Yes"
"9","cust9","No","Male","San Fransisco",1,16,29,"Mobile","Couple","Yes",6800,0,4,"Horror","Center","No"
"10","cust10","Yes","Male","Sonoma",12,17,24,"Desktop","Single","Yes",2700,5,3,"Action","Left","Yes"
"11","cust11","Yes","Female","Sonoma",17,2,31,"Desktop","Couple","No",3300,5,5,"Comedy","Left","Yes"
"12","cust12","Yes","Male","Santa Barbara",15,2,32,"Mobile","Couple","Yes",5900,0,5,"Action","Left","Yes"
"13","cust13","Yes","Female","Trinity",12,16,31,"Mobile","Couple","No",5500,0,3,"Horror","Left","No"
"14","cust14","No","Male","Ventura",17,2,20,"Mobile","Couple","Yes",4800,1,2,"Horror","Left","No"
"15","cust15","No","Male","San Fransisco",6,12,37,"Mobile","Couple","No",6500,0,2,"Horror","Right","No"
"16","cust16","Yes","Male","Sonoma",14,3,33,"Mobile","Shared Subs","Yes",3400,2,3,"Action","Left","Yes"
"17","cust17","Yes","Male","Kings",0,18,30,"Desktop","Family","No",5000,0,5,"Action","Center","Yes"
"18","cust18","Yes","Female","Trinity",7,6,39,"Mobile","Shared Subs","No",6000,0,4,"Drama","Left","Yes"
"19","cust19","Yes","Male","Santa Barbara",6,11,21,"Mobile","Couple","No",6000,0,3,"Drama","Left","No"
"20","cust20","No","Female","Napa",16,1,28,"Smart TV","Shared Subs","Yes",6200,0,4,"Comedy","Right","No"
"21","cust21","No","Female","Kings",1,12,26,"Smart TV","Couple","Yes",4800,1,5,"Horror","Left","No"
"22","cust22","Yes","Female","Napa",14,16,31,"Mobile","Single","No",6400,0,5,"Horror","Right","No"
"23","cust23","No","Female","Santa Barbara",2,10,30,"Mobile","Couple","No",6000,0,5,"Comedy","Left","No"
"24","cust24","Yes","Male","Monterey",18,5,33,"Desktop","Family","No",4400,1,5,"Drama","Left","No"
"25","cust25","Yes","Male","Santa Barbara",9,15,34,"Mobile","Family","No",6300,0,3,"Documentary","Center","Yes"
"26","cust26","Yes","Female","Sonoma",16,15,43,"Desktop","Family","Yes",3700,2,1,"Drama","Left","Yes"
"27","cust27","No","Female","Napa",1,15,28,"Mobile","Single","No",6200,0,5,"Horror","Right","No"
"28","cust28","Yes","Male","Ventura",8,11,22,"Mobile","Couple","Yes",5100,0,4,"Drama","Center","No"
"29","cust29","Yes","Male","Santa Barbara",5,5,26,"Desktop","Couple","Yes",6000,0,3,"Documentary","Left","Yes"
"30","cust30","Yes","Male","San Diego",6,7,32,"Mobile","Single","Yes",6000,0,3,"Documentary","Left","Yes"
"31","cust31","Yes","Male","Sonoma",19,11,35,"Desktop","Family","No",3400,3,3,"Comedy","Left","Yes"
